Name	Age	Gender	Social Status	Notable Traits	Role	Occupation	First Appearance	Personality Traits	Notable Actions	Relationships	visual_characteristics	clothing_colors	AI_agent_name	book_name	entry_date
Gray Beaver	40s	Male	Lower	Practical, stern, fair	Supporting human	Native American	Part 2, Chapter 3	Stoic, hardworking, pragmatic	Owns White Fang, trains him	Owner of Kiche and White Fang	Strong, stocky build with dark hair	Practical winter gear, dark tones	Copilot	White Fang	2025-01-22
Lip-lip	Varies	Male	Wild	Mean, aggressive, dominant	Antagonist	Wolf-dog	Part 2, Chapter 4	Bully, fierce, relentless	Torments White Fang, fights him	No strong relationships	Lean, muscular, thick coat of fur	Gray fur, no clothing	Copilot	White Fang	2025-01-22
Collie	Varies	Female	Domesticated	Friendly, protective, intelligent	Supporting character	Dog	Part 5, Chapter 3	Loyal, nurturing, brave	Protects her family, bonds with White Fang	Mate of White Fang	Medium-sized, thick coat of fur	Golden fur, no clothing	Copilot	White Fang	2025-01-22
Matt	30s	Male	Middle	Practical, kind, loyal	Supporting human	Scott's assistant	Part 4, Chapter 5	Dependable, hardworking, caring	Helps care for White Fang	Works with Weedon Scott	Average build, rugged appearance	Simple, durable clothing; neutral tones	Copilot	White Fang	2025-01-22
Martin Eden	20s	Male	Lower (working-class)	Determined, intelligent, ambitious	Main protagonist	Sailor, writer	Chapter 1	Persistent, introspective, idealistic	Struggles to become a writer, falls in love with Ruth Morse	Develops a complex relationship with Ruth Morse and other literary figures	Lean, rugged, weathered appearance	Simple, practical clothing; dark tones	Copilot	Martin Eden	2025-01-22
Ruth Morse	20s	Female	Upper-middle class	Kind, cultured, supportive	Supporting character	University student	Chapter 1	Compassionate, patient, conflicted	Encourages Martin's education, eventually breaks off their engagement	Engaged to Martin Eden, daughter of a wealthy family	Delicate features, refined appearance	Stylish, elegant clothing; light colors	Copilot	Martin Eden	2025-01-22
Arthur Morse	20s	Male	Upper-middle class	Brave, friendly, adventurous	Supporting character	University student	Chapter 1	Outgoing, sociable, supportive	Introduces Martin to his family, supports Martin's aspirations	Brother of Ruth Morse	Handsome, athletic build	Casual, fashionable clothing; neutral tones	Copilot	Martin Eden	2025-01-22
Lizzie Connolly	20s	Female	Lower (working-class)	Loyal, caring, practical	Supporting character	Laundry worker	Chapter 10	Devoted, hardworking, unpretentious	Supports Martin emotionally, remains a steadfast friend	Has unrequited feelings for Martin Eden	Plain, sturdy build	Simple, modest clothing; dark tones	Copilot	Martin Eden	2025-01-22
Joe Dawson	30s	Male	Lower (working-class)	Strong, resilient, loyal	Supporting character	Manual laborer	Chapter 5	Dependable, straightforward, hardworking	Supports Martin's literary ambitions, remains a loyal friend	Childhood friend of Martin Eden	Muscular, rough appearance	Work clothes, earthy tones	Copilot	Martin Eden	2025-01-22
Russ Brissenden	40s	Male	Upper-middle class	Cynical, intellectual, supportive	Supporting character	Writer	Chapter 20	Brilliant, disillusioned, supportive	Encourages Martin's writing, offers critical advice	Becomes a mentor to Martin Eden	Thin, frail appearance	Bohemian, casual clothing; dark tones	Copilot	Martin Eden	2025-01-22
Maria Silva	30s	Female	Lower (working-class)	Kind, nurturing, hardworking	Supporting character	Landlady	Chapter 15	Maternal, generous, practical	Provides Martin with a place to stay, supports him financially	No significant relationships mentioned	Stout, motherly appearance	Simple, practical clothing; dark tones	Copilot	Martin Eden	2025-01-22
Bernard Higginbotham	40s	Male	Lower (working-class)	Practical, stern, hardworking	Supporting character	Grocery store owner	Chapter 5	Strict, business-minded, unsympathetic	Employs Martin, criticizes his literary ambitions	Brother-in-law to Martin Eden	Stocky, stern appearance	Work clothes, dark tones	Copilot	Martin Eden	2025-01-22
Humphrey Van Weyden	30s	Male	Upper-middle class	Intellectual, inexperienced, resilient	Main protagonist	Literary critic	Chapter 1	Introspective, determined, adaptable	Survives shipwreck, grows stronger under Larsen's influence	Develops complex relationship with Wolf Larsen and Maud Brewster	Lean, refined appearance	Formal, elegant clothing; dark tones	Copilot	The Sea-Wolf	2025-01-22
Wolf Larsen	40s	Male	Lower (self-made)	Strong, intelligent, ruthless	Antagonist	Sea captain	Chapter 2	Brutal, philosophical, commanding	Dominates crew, engages in intellectual debates with Van Weyden	Complex relationship with Van Weyden, feared by crew	Powerful, imposing figure	Practical, rugged clothing; dark tones	Copilot	The Sea-Wolf	2025-01-22
Maud Brewster	30s	Female	Upper-middle class	Cultured, intelligent, brave	Supporting character	Poet, writer	Chapter 26	Compassionate, resourceful, courageous	Survives shipwreck, forms bond with Van Weyden	Develops romantic relationship with Van Weyden	Delicate, refined appearance	Stylish, elegant clothing; light colors	Copilot	The Sea-Wolf	2025-01-22
Thomas Mugridge	40s	Male	Lower (working-class)	Cowardly, greedy, deceitful	Supporting character	Cook	Chapter 5	Scheming, self-serving, fearful	Mistreats crew, tries to curry favor with Larsen	No strong relationships	Thin, unkempt appearance	Shabby, dirty clothing; dark tones	Copilot	The Sea-Wolf	2025-01-22
Johnson	30s	Male	Lower (working-class)	Strong, rebellious, loyal	Supporting character	Sailor	Chapter 7	Defiant, hardworking, principled	Stands up to Larsen, supports Van Weyden	Friendship with Leach	Stocky, rugged appearance	Practical, worn clothing; dark tones	Copilot	The Sea-Wolf	2025-01-22
Leach	30s	Male	Lower (working-class)	Rebellious, brave, loyal	Supporting character	Sailor	Chapter 7	Fearless, determined, loyal	Attempts mutiny against Larsen, supports Johnson	Friendship with Johnson	Lean, tough appearance	Practical, worn clothing; dark tones	Copilot	The Sea-Wolf	2025-01-22
Death Larsen	40s	Male	Lower (self-made)	Ruthless, cunning, competitive	Antagonist	Sea captain	Chapter 34	Brutal, strategic, vengeful	Engages in rivalry with his brother Wolf Larsen	Brother of Wolf Larsen	Imposing, fearsome appearance	Practical, rugged clothing; dark tones	Copilot	The Sea-Wolf	2025-01-22
Louis	30s	Male	Lower (working-class)	Practical, observant, loyal	Supporting character	Sailor	Chapter 10	Dependable, insightful, hardworking	Provides advice to Van Weyden, supports crew	No significant relationships	Average build, weathered appearance	Practical, worn clothing; dark tones	Copilot	The Sea-Wolf	2025-01-22
Avis Everhard	30s	Female	Upper-middle class	Intelligent, empathetic, determined	Main protagonist	Writer, activist	Chapter 1	Compassionate, brave, idealistic	Investigates worker conditions, supports socialist movement	Married to Ernest Everhard	Refined, intellectual appearance	Stylish, elegant clothing; dark tones	Copilot	The iron heel	2025-01-22
Ernest Everhard	30s	Male	Lower (working-class)	Charismatic, intelligent, revolutionary	Main protagonist	Socialist leader	Chapter 1	Passionate, persuasive, fearless	Leads socialist movement, challenges Oligarchy	Married to Avis Everhard	Strong, rugged appearance	Simple, practical clothing; dark tones	Copilot	The iron heel	2025-01-22
Bishop Morehouse	50s	Male	Upper-middle class	Kind, naive, idealistic	Supporting character	Clergyman	Chapter 2	Compassionate, principled, courageous	Advocates for the poor, confined to a madhouse	No significant relationships	Older, dignified appearance	Clerical clothing; dark tones	Copilot	The iron heel	2025-01-22
John Cunningham	60s	Male	Upper-middle class	Respected, intellectual, supportive	Supporting character	Physicist	Chapter 1	Knowledgeable, wise, supportive	Supports Avis's investigations, provides insights	Father of Avis Everhard	Older, scholarly appearance	Formal, elegant clothing; dark tones	Copilot	The iron heel	2025-01-22
Anthony Meredith	Varies	Male	Upper (future scholar)	Intellectual, analytical, detached	Framing device	Scholar	Introduction	Analytical, objective, insightful	Provides historical context, corrects manuscript errors	No significant relationships	Scholarly, futuristic appearance	Formal, elegant clothing; neutral tones	Copilot	The iron heel	2025-01-22
Jackson	40s	Male	Lower (working-class)	Resilient, hardworking, victimized	Supporting character	Factory worker	Chapter 3	Stoic, determined, oppressed	Suffers workplace injury, symbolizes worker exploitation	No significant relationships	Rough, weathered appearance	Work clothes; dark tones	Copilot	The iron heel	2025-01-22
Wickson	50s	Male	Upper (Oligarchy)	Wealthy, powerful, ruthless	Antagonist	Industrialist	Chapter 4	Authoritative, manipulative, oppressive	Represents Oligarchy, opposes socialist movement	No significant relationships	Imposing, wealthy appearance	Formal, elegant clothing; dark tones	Copilot	The iron heel	2025-01-22
James Howard Smith (Granser)	70s	Male	Upper-middle class (before the plague)	Intelligent, knowledgeable, resilient	Main protagonist	Former professor	Chapter 1	Wise, reflective, determined	Survives the plague, recounts the past to his grandsons	Grandfather to Edwin, Hoo-Hoo, and Hare-Lip	Old, weathered appearance	Simple, worn clothing; dark tones	Copilot	The Scarlet Plague	2025-01-22
Edwin	10s	Male	Lower (post-apocalyptic)	Curious, attentive, brave	Supporting character	Survivor	Chapter 1	Inquisitive, loyal, resourceful	Listens to Granser's stories, learns about the past	Grandson of Granser	Young, rugged appearance	Simple, practical clothing; earthy tones	Copilot	The Scarlet Plague	2025-01-22
Hoo-Hoo	10s	Male	Lower (post-apocalyptic)	Skeptical, strong, adventurous	Supporting character	Survivor	Chapter 1	Doubtful, brave, adaptable	Initially skeptical of Granser's tales, becomes fascinated	Grandson of Granser	Young, tough appearance	Simple, practical clothing; earthy tones	Copilot	The Scarlet Plague	2025-01-22
Hare-Lip	10s	Male	Lower (post-apocalyptic)	Innocent, naive, eager	Supporting character	Survivor	Chapter 1	Trusting, curious, playful	Listens to Granser's stories with wonder	Grandson of Granser	Young, wide-eyed appearance	Simple, practical clothing; earthy tones	Copilot	The Scarlet Plague	2025-01-22
Billy Roberts	30s	Male	Lower (working-class)	Strong, resilient, determined	Main protagonist	Teamster, farmer	Chapter 1	Brave, hardworking, loyal	Participates in strikes, searches for farmland with Saxon	Husband to Saxon Roberts	Strong, rugged appearance	Simple, practical clothing; earthy tones	Copilot	The Valley of the Moon	2025-01-22
Saxon Roberts	30s	Female	Lower (working-class)	Intelligent, resilient, nurturing	Main protagonist	Laundry worker, farmer	Chapter 1	Compassionate, determined, resourceful	Supports Billy, searches for farmland, adapts to rural life	Wife to Billy Roberts	Delicate, determined appearance	Simple, practical clothing; earthy tones	Copilot	The Valley of the Moon	2025-01-22
Jack Hastings	40s	Male	Upper-middle class	Charismatic, intellectual, supportive	Supporting character	Writer, journalist	Chapter 20	Insightful, wise, encouraging	Provides guidance to Billy and Saxon	No significant relationships	Refined, intellectual appearance	Stylish, elegant clothing; dark tones	Copilot	The Valley of the Moon	2025-01-22
Mercedes	50s	Female	Middle (artist colony)	Creative, nurturing, supportive	Supporting character	Artist	Chapter 15	Artistic, kind, welcoming	Hosts Billy and Saxon in the artist colony	No significant relationships	Artistic, bohemian appearance	Colorful, flowing clothing; bright tones	Copilot	The Valley of the Moon	2025-01-22
Christopher Bellew (Smoke)	30s	Male	Upper-middle class (initially)	Adventurous, resilient, intelligent	Main protagonist	Writer, prospector	Chapter 1	Brave, resourceful, determined	Leaves comfortable life for Klondike, thrives in wilderness	Develops friendships with other prospectors	Lean, rugged appearance	Simple, practical clothing; earthy tones	Copilot	Smoke Bellew	2025-01-22
Shorty	30s	Male	Lower (working-class)	Loyal, humorous, tough	Supporting character	Prospector	Chapter 2	Friendly, hardworking, loyal	Partners with Smoke in various adventures	Strong friendship with Smoke	Stocky, muscular appearance	Simple, practical clothing; dark tones	Copilot	Smoke Bellew	2025-01-22
Joy Gastell	20s	Female	Upper-middle class	Kind, intelligent, adventurous	Supporting character	Prospector	Chapter 5	Compassionate, brave, resourceful	Supports Smoke and Shorty, participates in adventures	Develops a romantic interest in Smoke	Delicate, determined appearance	Simple, practical clothing; light tones	Copilot	Smoke Bellew	2025-01-22
Big Olaf	40s	Male	Lower (working-class)	Strong, resilient, experienced	Supporting character	Prospector	Chapter 3	Stoic, hardworking, dependable	Assists Smoke and Shorty in their endeavors	No significant relationships	Large, muscular appearance	Simple, rugged clothing; dark tones	Copilot	Smoke Bellew	2025-01-22
Kitty Bonner	20s	Female	Upper-middle class	Charming, intelligent, supportive	Supporting character	Prospector	Chapter 6	Kind, brave, resourceful	Supports Smoke and Shorty, participates in adventures	Develops a romantic interest in Smoke	Delicate, determined appearance	Simple, practical clothing; light tones	Copilot	Smoke Bellew	2025-01-22
Hercule Poirot	60s	Male	Middle Class	Brilliant detective	Detective	Retired	Chapter 1	Meticulous, observant, logical	Solves the murder		Mustache, neat appearance	Gray suit, black shoes	Copilot	The murder of Roger Ackroyd	2025-01-22
Dr. James Sheppard	40s	Male	Middle Class	Trustworthy, inquisitive	Narrator/Doctor	Doctor	Chapter 1	Curious, methodical	Assists Poirot	Caroline Sheppard (sister)	Average build, clean-shaven	White coat, brown trousers	Copilot	The murder of Roger Ackroyd	2025-01-22
